from,to,lines,size
ARM PORT,OMAP POWER MANAGEMENT SUPPORT,6563,176807
ARM PORT,OMAP SUPPORT,138044,4079983
ARM PORT,OMAP USB SUPPORT,1663,44135
ARM PORT,OPROFILE,146,3410
ARM PORT,PER-CPU MEMORY ALLOCATOR,45,1380
ARM PORT,PERFORMANCE EVENTS SUBSYSTEM,3858,105941
ARM PORT,PICOXCELL SUPPORT,138,3533
ARM PORT,PXA2xx/PXA3xx SUPPORT,48668,1295871
ARM PORT,SPEAR PLATFORM SUPPORT,536,12628
ARM PORT,SPEAR13XX MACHINE SUPPORT,1112,29610
ARM PORT,SPEAR3XX MACHINE SUPPORT,1130,27256
ARM PORT,SPEAR6XX MACHINE SUPPORT,634,14733
ARM PORT,TEGRA SUPPORT,19790,496469
ARM PORT,THE REST,718019,19870663
ARM PORT,TI DAVINCI MACHINE SUPPORT,25182,655117
ARM PORT,TRACING,312,7253
ARM PORT,WOLFSON MICROELECTRONICS DRIVERS,1279,32932
ARM PORT,XEN HYPERVISOR ARM,691,20531
ARM PRIMECELL AACI PL041 DRIVER,ARM PRIMECELL AACI PL041 DRIVER,1366,32650
